costo_directo,costo_investigacion,dias_perdidos,dias_sin_accidente,antiguedad_anos,severidad_num
16426.69,1900.92,9,149,1,2
42837.96,7683.10,20,231,1,3
3007.77,554.79,0,70,1,1
24124.26,6842.27,9,256,1,2
1697.02,310.49,0,228,1,1
13585.32,2188.60,5,39,1,2
664.27,160.21,1,202,1,1
1909.36,429.19,1,362,1,1
1883.88,515.28,0,85,1,1
2881.65,842.21,1,246,1,1
2143.81,454.15,0,62,1,1
1915.33,315.37,1,96,23,1
2716.81,324.49,2,212,23,1
1998.68,389.24,1,83,23,1
5004.39,591.41,10,186,23,2
1848.69,492.72,0,318,23,1
23970.73,3094.69,6,220,23,2
4695.66,1215.42,1,300,23,1
68892.14,9034.57,27,175,23,3
4237.03,773.19,0,103,23,1
978.35,228.43,1,359,23,1
28531.60,6197.84,29,114,23,3
17723.46,3304.80,7,257,23,2
12636.81,3774.01,9,268,23,2
4534.88,713.76,1,184,23,1
1300.74,323.06,0,94,23,1
311084.59,78477.42,87,116,23,4
23232.23,5180.10,5,262,2,2
3184.95,660.66,0,82,2,1
2468.75,392.39,2,140,2,1
364293.97,58204.73,65,97,2,4
329810.49,62062.99,24,190,2,4
2394.75,398.11,0,215,2,1
206306.07,32079.63,28,106,2,4
4624.75,1314.47,2,279,2,1
2269.70,437.83,1,197,2,1
14346.79,1561.35,1,325,2,2
6061.68,858.23,10,64,2,2
36934.94,9226.90,8,34,2,3
2172.86,573.97,2,77,2,1
2321.77,605.91,2,144,2,1
4785.02,1089.97,0,71,2,1
16857.62,2054.28,5,307,2,2
76221.71,15575.18,10,148,2,3
77610.49,18499.11,13,288,2,3
3543.63,522.71,1,240,18,1
3504.14,879.22,0,46,18,1
1902.50,356.09,2,158,18,1
984.58,162.88,2,118,18,1
10837.57,2470.13,3,0,18,2
11995.24,1385.40,2,292,18,2
4294.24,789.35,0,266,18,1
1631.42,186.87,0,39,18,1
1832.02,208.15,2,149,18,1
1224.49,337.51,1,15,18,1
24768.74,2767.67,4,11,18,2
4602.42,588.95,1,248,18,1
13573.55,3153.41,10,287,18,2
3116.89,828.06,2,152,18,1
5960.16,724.89,1,63,5,2
108853.33,32053.66,76,77,5,4
24947.35,7339.71,10,201,5,2
10251.90,1842.32,3,202,5,2
24179.48,3479.81,1,141,5,2
3445.70,471.55,2,365,5,1
76479.39,11507.50,29,182,5,3
326168.98,93446.45,70,101,5,4
14182.84,2869.05,10,19,5,2
4121.23,486.03,2,96,5,1
4635.20,744.43,1,340,5,1
4134.14,440.23,0,353,5,1
846.66,208.50,2,294,5,1
1129.27,119.15,2,131,5,1
1577.12,234.52,1,1,5,1
97684.29,26855.75,15,176,5,3
9603.07,2733.92,4,124,5,2
3493.06,744.26,0,345,5,1
1892.83,480.26,1,1,12,1
2263.63,545.39,2,365,12,1
8675.61,1636.92,3,294,12,2
661.38,100.56,2,182,12,1
3352.58,466.96,0,306,12,1
904.76,259.04,1,185,12,1
3110.79,643.37,2,90,12,1
63181.18,8635.65,20,268,12,3
40770.74,8440.20,20,328,12,3
14597.57,3564.77,2,15,12,2
98299.51,17935.07,19,265,12,3
59200.16,11467.49,20,304,12,3
1856.39,264.07,0,220,7,1
2554.02,724.34,2,348,7,1
4883.71,663.83,0,125,7,1
7345.60,1756.75,7,359,7,2
1070.22,145.68,0,245,7,1
6591.86,1841.82,6,132,7,2
5833.61,1687.99,10,273,7,2
4908.43,870.94,0,33,7,1
1621.12,203.52,0,253,7,1
2366.25,403.64,1,35,7,1
10103.66,2146.93,8,302,7,2
77205.85,10780.21,18,45,7,3
21493.21,3806.63,2,315,7,2
17867.35,1952.94,1,259,7,2
34445.12,4445.61,19,161,7,3
1512.21,446.11,2,331,7,1
4499.66,1129.45,0,204,7,1
4092.97,873.94,1,185,7,1
16833.75,4158.65,7,268,4,2
437740.09,52853.89,76,313,4,4
1644.30,440.33,0,286,4,1
1192.63,247.20,0,98,4,1
3845.65,1069.42,1,39,4,1
21183.76,2931.34,8,43,4,2
233258.49,61948.08,26,153,4,4
7290.36,1963.73,8,55,4,2
2784.13,322.71,0,96,4,1
17836.73,3196.31,9,133,4,2
18230.17,3911.04,4,35,4,2
1306.59,209.64,0,28,4,1
1247.21,331.78,0,284,4,1
2310.63,435.00,1,95,4,1
2468.69,717.61,0,313,14,1
22244.35,4615.75,1,106,14,2
40526.34,7790.62,19,309,14,3
19607.88,4833.56,10,61,14,2
91364.24,21778.10,15,352,14,3
2675.29,295.03,2,101,14,1
12894.76,2321.58,8,343,14,2
2580.99,399.49,0,71,14,1
54215.72,10148.03,19,169,14,3
3798.23,857.08,2,350,6,1
2134.98,251.60,0,63,6,1
8408.54,2303.76,10,3,6,2
8932.68,2605.55,1,15,6,2
4143.14,1164.94,1,168,6,1
723.52,214.00,2,17,6,1
453312.46,120167.81,86,198,6,4
4229.62,551.03,0,286,6,1
4668.68,999.70,0,284,6,1
97749.82,23060.42,5,172,6,3
2435.30,577.04,2,97,1,1
674.72,191.84,1,260,1,1
41248.19,8759.42,26,61,1,3
49105.14,9360.78,11,188,1,3
2401.17,589.82,0,127,1,1
2234.15,402.72,0,336,1,1
14643.76,3276.32,2,100,1,2
1395.72,140.79,1,161,1,1
3360.49,521.60,1,125,1,1
8151.87,2314.91,10,12,1,2
20118.03,3046.50,1,330,1,2
2215.44,266.73,1,204,1,1
12527.20,3525.76,7,256,11,2
19238.46,5143.40,10,90,11,2
907.44,199.27,2,68,11,1
1226.65,145.30,1,265,11,1
999.08,132.80,0,220,11,1
2468.97,357.24,2,285,11,1
87260.09,20091.62,24,84,11,3
3921.16,842.99,0,152,11,1
3766.89,903.94,0,1,11,1
3348.48,524.37,2,199,11,1
22452.29,5196.06,7,234,11,2
22788.57,5626.65,5,295,24,2
24486.49,2711.62,4,324,24,2
274157.86,82097.63,53,198,24,4
89403.67,11443.70,13,297,24,3
95537.22,18555.07,27,259,24,3
85575.66,25506.08,7,159,24,3
60908.38,7667.93,8,220,24,3
3883.17,795.17,0,0,24,1
89139.07,19144.44,7,11,24,3
40227.60,4976.28,21,213,24,3
12317.52,2878.51,7,199,24,2
4623.96,995.48,0,295,24,1
3563.37,1005.20,1,287,24,1
3367.18,539.87,0,60,24,1
4778.90,1372.18,2,175,24,1
17308.36,2472.74,4,286,24,2
19549.96,2454.56,7,330,24,2
934.54,231.54,0,340,6,1
10456.55,2938.93,7,212,6,2
12212.71,3550.00,9,22,6,2
29913.45,4815.54,5,336,6,3
4723.69,1038.87,0,245,6,1
72058.22,16406.02,8,144,6,3
1261.65,344.39,1,267,6,1
93500.71,25459.85,30,90,6,3
7959.72,1859.62,8,147,6,2
3579.56,895.55,2,42,6,1
712.16,146.84,2,232,6,1
1147.56,209.86,0,183,6,1
14400.99,3835.28,6,211,6,2
1116.97,253.59,2,1,6,1
68918.98,17777.21,30,163,6,3
2543.90,652.52,0,193,6,1
210544.87,45796.08,65,278,6,4
3732.85,541.55,0,46,6,1
3448.38,821.25,2,164,6,1
400629.49,78201.20,36,256,6,4
14720.90,4002.80,9,50,6,2
87642.58,20491.22,29,329,2,3
1864.54,555.03,2,327,2,1
3433.77,969.98,2,69,2,1
38903.17,6995.58,30,228,2,3
3446.89,527.02,2,114,2,1
3367.39,904.80,2,204,2,1
2929.27,540.73,2,207,2,1
1347.65,255.84,2,210,2,1
100225.94,21448.09,79,337,2,4
87201.88,14502.54,6,15,7,3
16381.73,2350.57,6,304,7,2
4062.17,595.58,0,362,7,1
17283.03,5095.33,2,235,7,2
16452.61,4222.07,3,120,7,2
84519.41,20240.43,5,149,7,3
94855.84,20923.42,8,63,7,3
12645.24,2045.41,9,74,7,2
36716.60,5307.96,5,360,7,3
4966.99,867.09,2,12,7,1
86672.34,21369.24,16,315,7,3
87163.03,18775.02,12,118,7,3
12731.90,1914.87,10,158,10,2
4754.23,1297.11,1,255,10,1
1268.10,276.71,0,172,10,1
24628.34,5892.65,3,171,10,2
4833.14,1350.20,1,90,10,1
7712.84,1358.92,8,229,10,2
2625.30,404.76,0,116,10,1
6704.17,794.40,9,293,10,2
1736.56,476.09,1,220,10,1
21684.54,5567.30,2,363,10,2
19078.11,2291.31,5,183,1,2
90560.66,24492.11,18,70,1,3
2302.52,386.10,2,46,1,1
3128.80,601.42,2,280,1,1
18710.31,3186.43,5,29,1,2
1582.30,334.97,0,331,1,1
10877.97,1512.21,9,44,1,2
20501.43,2147.26,8,349,1,2
14711.49,3194.70,10,310,1,2
7350.35,1858.21,10,331,1,2
3142.06,867.61,2,243,1,1
15117.37,2759.36,7,83,1,2
4303.95,1139.36,2,362,1,1
17249.57,4395.57,9,1,1,2
1544.54,278.26,1,196,1,1
2966.24,714.20,2,116,1,1
21797.45,5049.16,2,225,1,2
2913.34,295.83,1,337,1,1
1328.93,223.40,2,307,1,1
79249.87,16719.48,8,308,1,3
3666.36,447.18,1,346,1,1
2154.03,344.32,1,225,11,1
19262.14,5699.62,10,204,11,2
15047.18,2049.99,3,140,11,2
5119.03,515.41,7,10,11,2
14031.23,3350.57,1,293,11,2
81825.52,22651.04,26,325,11,3
868.08,198.09,2,108,11,1
23200.76,5625.23,4,335,11,2
2661.96,457.06,1,351,11,1
88813.19,11829.95,15,22,11,3
4482.35,844.79,2,47,11,1
186583.15,39851.36,39,100,11,4
844.24,176.21,0,213,11,1
4743.32,896.24,1,285,25,1
1381.65,171.53,1,23,25,1
3959.18,568.84,2,36,25,1
20534.05,3467.76,5,86,25,2
94186.88,23889.87,15,108,25,3
118096.03,29258.25,77,358,25,4
3002.41,601.06,0,19,25,1
1280.79,286.74,0,229,25,1
3963.92,465.47,1,309,25,1
25524.05,6627.42,26,256,25,3
17573.73,4324.79,8,258,25,2
4340.09,991.69,1,41,25,1
194896.10,37616.20,20,352,25,4
2620.36,435.96,2,355,21,1
15005.47,1862.61,10,121,21,2
4465.21,475.20,0,283,21,1
664.76,164.69,0,324,21,1
20972.02,5646.92,10,238,21,2
26211.89,4613.45,8,222,21,3
1556.61,426.45,2,354,21,1
24371.33,2811.58,8,22,21,2
8242.58,1823.28,2,270,21,2
67407.88,11568.45,12,303,21,3
1224.96,223.81,0,268,21,1
5068.17,1035.01,2,11,21,2
4801.70,583.35,1,299,21,1
25383.02,6693.05,10,2,21,3
4341.50,1120.56,1,39,21,1
16926.89,2081.96,9,265,21,2
2789.71,303.54,0,91,18,1
1001.22,168.25,2,194,18,1
2408.82,323.13,2,151,18,1
4264.11,744.79,1,352,18,1
1925.31,311.49,2,53,18,1
82126.52,16079.23,16,172,18,3
23765.42,5363.10,6,16,18,2
4504.58,542.15,0,226,18,1
8354.18,2397.72,6,135,18,2
1555.05,391.95,2,165,18,1
3979.72,890.86,2,148,18,1
3798.31,393.16,1,354,4,1
93324.02,12263.38,29,331,4,3
4658.70,1206.51,0,23,4,1
98690.11,17126.85,18,301,4,3
14033.54,2653.86,9,21,4,2
4992.02,625.11,2,222,4,1
463174.83,131233.37,67,39,4,4
424967.34,78883.06,20,157,4,4
1823.51,533.66,1,161,4,1
98993.90,13146.91,6,9,4,3
45711.02,9130.03,20,241,4,3
3452.89,367.63,1,347,4,1
20670.94,3894.72,1,308,4,2
3614.63,924.94,2,245,4,1
5962.28,1363.24,2,30,4,2
833.23,112.10,2,153,19,1
3558.14,786.76,2,166,19,1
22853.84,4192.11,4,306,19,2
6703.96,1951.08,10,61,19,2
2547.62,748.06,1,348,19,1
18488.59,4582.82,4,345,19,2
4548.95,614.93,2,235,19,1
2134.34,599.79,1,318,19,1
1026.38,140.64,0,194,19,1
876.25,139.41,1,283,19,1
20745.51,2405.73,9,178,19,2
12551.70,2298.19,2,142,19,2
4139.96,1019.32,1,47,19,1
4884.33,1028.99,2,240,4,1
3379.22,691.45,1,321,4,1
15816.26,2257.72,9,14,4,2
3064.56,446.18,2,218,4,1
17778.69,3834.43,4,110,4,2
14675.29,3829.43,10,259,4,2
4887.90,1300.26,0,231,4,1
1144.46,306.98,0,46,4,1
64829.01,18737.56,15,359,4,3
90871.64,16873.20,27,320,4,3
2502.13,295.67,1,220,4,1
1435.36,158.09,2,183,4,1
8506.55,1942.15,9,176,4,2
4020.17,675.17,0,350,4,1
20186.73,5215.77,5,283,4,2
2989.96,760.24,1,167,4,1
1278.13,304.22,0,123,4,1
54171.11,15731.67,10,5,4,3
4230.47,602.86,2,68,4,1
1674.46,272.94,1,103,24,1
3931.01,874.24,1,183,24,1
3937.36,903.94,0,338,24,1
1429.73,204.61,1,148,24,1
35695.52,8275.72,27,115,24,3
21516.52,6417.09,6,174,24,2
38825.22,7134.01,6,117,24,3
1482.75,304.18,1,102,24,1
491618.32,88317.45,58,165,24,4
3538.28,630.37,2,323,24,1
267523.24,47248.75,26,213,24,4
17720.88,2834.98,1,175,24,2
12546.30,3279.39,9,28,24,2
858.78,244.87,0,330,24,1
4184.84,826.48,0,324,24,1
16452.43,3814.27,7,230,24,2
56199.37,13657.83,8,13,24,3
4769.71,793.89,2,333,20,1
4367.34,724.29,1,247,20,1
3322.40,924.99,2,284,20,1
1003.61,103.55,0,320,20,1
72516.48,14386.67,12,334,20,3
11000.56,1264.78,9,210,20,2
3765.85,921.93,1,242,20,1
3996.14,869.96,0,341,20,1
8067.21,2086.52,3,110,20,2
75529.28,8196.14,23,125,20,3
2278.68,312.74,0,233,20,1
3455.88,833.98,0,48,20,1
839.65,208.49,2,186,20,1
3277.32,881.57,2,223,20,1
12219.91,3624.38,5,315,20,2
4046.14,583.58,1,324,20,1
42358.27,10226.72,21,337,19,3
8277.49,2405.47,9,137,19,2
777.51,199.19,0,38,19,1
237068.61,70513.29,43,323,19,4
1306.15,378.45,2,249,19,1
18681.29,2624.01,5,335,19,2
13317.69,2546.42,10,196,19,2
4245.28,670.30,1,13,19,1
699.12,112.13,0,159,19,1
2852.51,821.59,0,211,19,1
416911.33,110455.28,34,130,19,4
89488.43,19265.60,9,302,19,3
3892.97,515.83,0,69,19,1
9031.63,1728.20,9,277,19,2
16975.29,1888.46,8,282,19,2
251945.37,61104.13,45,296,19,4
17128.48,3337.90,6,218,19,2
75085.39,19979.55,28,88,19,3
6807.79,1369.52,8,129,19,2
823.20,245.53,2,269,19,1
20161.51,4810.00,9,290,19,2
9513.07,2238.09,7,135,2,2
13365.36,1705.07,7,147,2,2
6861.44,1950.40,7,258,2,2
21929.77,5967.83,6,165,2,2
3627.67,1072.03,2,304,2,1
4210.62,930.42,0,46,2,1
34417.95,4637.31,12,159,2,3
3231.35,555.98,1,22,2,1
17019.47,4081.03,3,180,2,2
1521.82,285.81,1,66,2,1
562.95,150.01,2,18,2,1
2228.86,281.91,0,142,2,1
3101.48,683.00,0,75,2,1
2765.56,346.22,2,332,2,1
2986.78,685.81,2,51,2,1
14291.47,1459.94,3,326,2,2
1616.98,276.74,2,207,17,1
921.10,252.04,0,269,17,1
598.18,79.69,0,103,17,1
2781.99,742.89,0,174,17,1
855.47,98.73,2,240,17,1
4938.66,1421.32,2,162,17,1
17652.96,4493.19,8,283,17,2
2639.59,264.09,0,167,17,1
2501.19,476.71,2,239,17,1
4222.76,1027.25,1,347,17,1
2955.20,795.28,1,22,17,1
1476.55,331.55,2,348,17,1
2267.81,289.04,2,218,14,1
640.28,189.99,2,361,14,1
5018.35,539.81,5,244,14,2
9660.48,1105.22,3,359,14,2
1341.97,267.52,0,34,14,1
69236.03,14873.12,19,353,14,3
3033.51,446.41,0,187,14,1
4083.28,662.10,2,114,14,1
3538.49,1041.79,0,22,14,1
3144.91,704.10,1,88,14,1
17013.16,3112.11,5,234,14,2
4399.59,810.62,1,45,14,1
4972.74,977.76,2,93,14,1
1174.26,169.22,2,333,14,1
6821.70,1585.62,8,179,14,2
2119.91,522.41,0,190,14,1
1070.94,260.84,0,115,14,1
11452.68,2613.28,2,16,11,2
467999.74,134579.71,77,126,11,4
3877.48,713.14,0,187,11,1
7045.09,905.07,10,0,11,2
94932.24,10687.13,25,77,11,3
4072.73,1087.19,0,92,11,1
862.49,155.14,2,77,11,1
3171.67,473.33,2,222,11,1
41562.56,10655.73,24,347,11,3
3232.01,749.52,2,156,11,1
856.59,123.39,2,107,11,1
4753.56,1414.33,1,196,4,1
17760.35,3948.23,10,110,4,2
12820.60,1777.89,2,299,4,2
61640.77,8424.55,28,145,4,3
69570.63,16147.57,18,133,4,3
1515.24,336.01,0,307,4,1
566.99,77.37,1,300,4,1
69784.25,16550.43,20,194,4,3
2445.15,461.57,2,202,4,1
17369.61,2522.16,8,160,4,2
1911.03,447.55,1,96,4,1
4493.09,673.08,1,131,4,1
13218.57,1966.05,10,28,10,2
16262.07,2604.01,2,349,10,2
6307.32,1383.97,4,43,10,2
300648.46,89730.27,63,148,10,4
4558.19,1117.85,2,190,10,1
1221.53,321.32,2,221,10,1
2471.58,313.14,0,189,10,1
1006.79,251.77,0,279,10,1
46738.92,13478.55,13,228,10,3
3008.88,468.14,0,218,10,1
27899.90,5745.35,8,126,10,3
3267.32,941.00,2,16,10,1
4706.32,682.86,2,320,13,1
5886.89,1746.77,7,50,13,2
80536.97,16365.01,15,322,13,3
409327.63,84583.94,47,275,13,4
929.99,267.24,1,134,13,1
96857.35,14587.95,24,58,13,3
91494.76,26812.28,23,46,13,3
3463.74,485.21,0,223,13,1
22178.96,3221.53,3,205,13,2
955.86,237.88,2,229,13,1
49761.30,5363.69,6,251,13,3
3190.33,684.51,2,267,13,1
69482.12,8038.48,11,260,13,3
3524.83,655.23,1,139,13,1
461615.20,89243.65,34,287,13,4
4303.98,985.53,1,354,5,1
1403.13,335.78,1,339,5,1
3883.43,528.67,2,4,5,1
1009.55,285.51,0,150,5,1
1212.33,124.85,2,37,5,1
9914.43,1533.82,10,201,5,2
930.09,146.82,0,161,5,1
321600.67,56287.07,68,110,5,4
451791.69,130951.96,51,174,5,4
16239.98,4513.42,6,65,22,2
1308.10,292.42,1,122,22,1
12508.06,2981.41,2,188,22,2
956.75,203.19,0,358,22,1
22858.11,2781.94,4,117,22,2
1229.40,204.35,2,251,22,1
243670.31,61403.22,63,198,22,4
4763.87,1245.73,2,79,22,1
10678.89,2212.77,6,16,22,2
186126.00,47709.48,24,336,22,4
741.18,81.22,0,37,22,1
3211.26,617.27,1,94,22,1
14131.41,3529.78,7,276,24,2
4652.03,515.47,1,22,24,1
5845.61,1429.22,1,186,24,2
2766.86,791.50,1,59,24,1
2179.05,458.80,0,359,24,1
3570.53,952.78,1,163,24,1
21287.42,4023.78,1,178,24,2
4925.72,583.50,2,274,24,1
3214.21,628.40,2,136,24,1
8924.32,1613.95,3,331,24,2
2229.12,487.07,2,84,24,1
236081.77,39735.92,20,32,24,4
274354.56,72113.82,72,82,19,4
855.36,234.51,2,235,19,1
3930.84,1117.57,1,324,19,1
24585.47,5831.73,5,74,19,2
3094.92,660.38,2,167,19,1
1911.86,494.75,2,40,19,1
3355.97,476.01,2,254,19,1
3144.71,789.53,0,92,19,1
4940.90,997.46,1,39,19,1
1758.48,378.98,0,284,19,1
24382.57,3913.46,8,294,19,2
1259.15,267.03,1,112,19,1
19050.62,3365.36,10,210,19,2
3624.32,1065.30,1,165,19,1
2383.29,409.26,1,296,19,1
1478.95,327.54,1,1,19,1
84174.70,20886.38,25,37,19,3
9170.40,1216.64,3,2,19,2
2507.05,325.23,2,281,18,1
61858.93,7887.17,6,113,18,3
3481.56,1006.42,0,203,18,1
2476.83,702.65,2,69,18,1
6279.40,1530.08,10,266,18,2
604.11,76.05,1,58,18,1
13678.16,2211.87,2,86,18,2
36914.61,10382.11,5,191,18,3
113470.69,25561.16,63,63,18,4
59341.10,6885.59,7,356,10,3
24959.92,7480.01,9,206,10,2
2032.03,534.02,2,66,10,1
22863.78,6718.66,8,155,10,2
4755.69,1356.07,1,318,10,1
1681.05,202.77,2,42,10,1
18656.37,5138.54,5,222,10,2
24511.14,3442.40,1,238,19,2
17699.02,4444.38,5,168,19,2
2017.91,418.17,2,90,19,1
3995.81,503.99,0,100,19,1
19757.59,3601.78,8,130,19,2
18538.26,3146.17,2,165,19,2
5325.84,1194.17,5,193,19,2
14931.89,3881.19,2,71,19,2
2348.62,447.13,0,2,19,1
54541.38,11739.49,17,249,19,3
264289.40,40782.07,68,202,19,4
1187.91,299.15,0,321,15,1
2432.99,245.46,0,166,15,1
2922.86,552.69,2,308,15,1
22206.03,5249.24,1,356,15,2
3318.53,600.15,1,287,15,1
2227.50,398.45,0,291,15,1
17093.58,2354.01,10,85,15,2
2201.38,372.41,2,294,15,1
2608.01,296.12,2,224,15,1
19679.11,3015.71,1,246,15,2
7462.96,1277.26,2,112,15,2
22451.75,4520.33,9,213,15,2
9361.81,1051.07,5,321,15,2
9735.49,1935.46,9,33,7,2
1299.37,233.43,1,143,7,1
15913.04,3760.93,1,354,7,2
21630.14,6372.76,7,352,7,2
4034.89,1197.18,2,183,7,1
1589.25,243.28,0,40,7,1
53098.98,7843.15,18,348,7,3
729.30,132.34,1,261,7,1
239422.00,50350.31,83,128,7,4
4861.68,1046.43,1,247,7,1
321900.44,64249.22,80,117,7,4
1996.33,462.62,2,20,7,1
22582.43,4914.29,5,173,7,2
2329.41,481.91,1,32,7,1
5574.41,726.42,6,285,7,2
2847.60,727.19,0,348,7,1
11957.98,3080.08,7,240,7,2
4613.66,651.06,1,221,7,1
1146.51,312.19,1,123,6,1
855.82,162.57,1,344,6,1
263712.54,55596.53,56,25,6,4
20829.42,3699.69,1,296,6,2
9762.04,2392.30,6,331,6,2
3808.48,652.74,0,269,6,1
3313.91,933.85,1,240,6,1
3070.15,683.43,0,337,6,1
3739.74,912.47,1,341,6,1
14264.26,1495.54,8,92,6,2
14229.96,3866.20,9,321,6,2
1326.05,352.41,0,149,6,1
223651.75,60177.72,73,273,6,4
3249.34,411.99,1,330,6,1
4084.17,851.99,1,326,6,1
4130.75,525.02,2,262,6,1
17585.15,3342.24,10,67,6,2
2772.46,425.80,0,297,6,1
853.72,203.33,0,55,17,1
3871.64,903.68,0,252,17,1
4929.19,1122.31,0,337,17,1
342751.21,99947.33,21,255,17,4
74571.75,13000.90,18,186,17,3
56586.13,10386.11,19,166,17,3
19441.17,5359.99,9,20,17,2
4601.61,1189.54,2,250,17,1
4663.90,1381.39,2,306,17,1
2654.36,777.43,2,175,17,1
9176.49,1485.38,8,93,17,2
48145.57,9489.74,23,91,17,3
63310.20,16218.47,27,336,25,3
328298.44,44558.14,72,306,25,4
2607.47,501.05,1,61,25,1
145179.37,40535.81,40,119,25,4
3102.74,672.60,1,139,25,1
3588.98,586.46,1,109,25,1
14715.51,3063.78,6,279,25,2
97016.69,13121.72,7,152,25,3
4496.41,821.78,1,340,10,1
20521.50,2627.31,4,73,10,2
140967.47,37499.34,77,224,10,4
347312.62,67716.04,64,20,10,4
55846.45,14094.09,7,84,10,3
1683.22,202.77,2,107,10,1
641.52,78.95,2,288,10,1
11197.20,2681.07,6,3,10,2
16368.16,4740.24,10,109,10,2
22749.48,2730.36,10,182,10,2
3942.71,674.25,2,72,10,1
4511.30,943.03,1,72,10,1
16405.95,2588.78,6,234,10,2
2065.72,211.14,1,94,10,1
3161.36,515.81,2,342,10,1
15121.13,2142.10,6,307,10,2
3014.30,880.95,0,205,10,1
485270.17,92788.47,38,220,10,4
2266.50,481.22,2,320,10,1
17817.13,2767.64,3,183,5,2
22590.67,3471.13,3,1,5,2
92385.83,16814.38,10,90,5,3
8636.58,900.73,3,347,5,2
16929.67,4290.17,3,254,5,2
11875.45,2719.95,1,168,5,2
3147.72,339.71,0,183,5,1
540.67,112.19,2,238,5,1
3661.33,1068.83,1,288,5,1
23168.32,6147.16,1,239,8,2
161978.91,25780.31,89,305,8,4
67318.93,8766.68,7,198,8,3
