fecha,costo_del_dia,costo_acumulado
2022-08-13,14518.75,11853705.58
2022-08-14,22493.15,11876198.73
2022-08-15,2394.75,11878593.48
2022-08-17,7839.86,11886433.34
2022-08-18,6370.24,11892803.58
2022-08-19,2346.44,11895150.02
2022-08-20,17446.28,11912596.30
2022-08-21,22388.13,11934984.43
2022-08-22,24302.02,11959286.45
2022-08-23,105196.75,12064483.20
2022-08-24,14125.21,12078608.41
2022-08-26,4609.78,12083218.19
2022-08-27,2716.81,12085935.00
2022-08-28,13365.36,12099300.36
2022-08-29,11870.78,12111171.14
2022-08-30,10678.98,12121850.12
2022-08-31,4601.61,12126451.73
2022-09-01,128933.60,12255385.33
2022-09-03,4390.26,12259775.59
2022-09-04,57158.84,12316934.43
2022-09-07,3937.36,12320871.79
2022-09-08,4740.81,12325612.60
2022-09-09,8843.46,12334456.06
2022-09-10,16526.54,12350982.60
2022-09-11,3930.23,12354912.83
2022-09-12,23357.01,12378269.84
2022-09-13,110101.28,12488371.12
2022-09-14,23081.36,12511452.48
2022-09-15,103710.76,12615163.24
2022-09-16,282014.16,12897177.40
2022-09-18,96806.91,12993984.31
2022-09-19,29260.86,13023245.17
2022-09-20,19145.60,13042390.77
2022-09-21,96213.48,13138604.25
2022-09-22,94530.24,13233134.49
2022-09-23,8187.66,13241322.15
2022-09-24,108579.75,13349901.90
2022-09-25,1129.27,13351031.17
2022-09-26,3661.33,13354692.50
2022-09-28,27163.87,13381856.37
2022-09-30,447690.90,13829547.27
2022-10-01,1144.46,13830691.73
2022-10-02,66076.98,13896768.71
2022-10-03,18268.85,13915037.56
2022-10-05,19188.71,13934226.27
2022-10-06,400600.09,14334826.36
2022-10-07,20118.03,14354944.39
2022-10-08,1212.33,14356156.72
2022-10-09,13230.94,14369387.66
2022-10-10,102988.15,14472375.81
2022-10-11,5235.51,14477611.32
2022-10-12,3484.13,14481095.45
2022-10-13,23336.02,14504431.47
2022-10-15,1609.81,14506041.28
2022-10-17,6728.13,14512769.41
2022-10-18,3858.54,14516627.95
2022-10-19,17319.07,14533947.02
2022-10-20,22562.12,14556509.14
2022-10-21,17723.46,14574232.60
2022-10-22,3310.49,14577543.09
2022-10-23,455125.18,15032668.27
2022-10-24,7949.36,15040617.63
2022-10-25,447590.98,15488208.61
2022-10-27,23924.33,15512132.94
2022-10-30,4204.01,15516336.95
2022-10-31,14907.66,15531244.61
2022-11-01,4615.27,15535859.88
2022-11-02,4652.03,15540511.91
2022-11-03,5578.54,15546090.45
2022-11-04,163317.30,15709407.75
2022-11-05,32972.74,15742380.49
2022-11-06,2625.30,15745005.79
2022-11-07,31502.52,15776508.31
2022-11-08,255876.38,16032384.69
2022-11-09,3367.39,16035752.08
2022-11-10,2342.46,16038094.54
2022-11-11,29899.30,16067993.84
2022-11-12,22876.07,16090869.91
2022-11-13,64534.12,16155404.03
2022-11-15,9063.53,16164467.56
2022-11-16,24670.33,16189137.89
2022-11-17,50872.46,16240010.35
2022-11-18,93299.12,16333309.47
2022-11-19,2986.19,16336295.66
2022-11-20,18922.58,16355218.24
2022-11-21,24307.39,16379525.63
2022-11-22,3418.19,16382943.82
2022-11-23,8067.21,16391011.03
2022-11-24,90564.78,16481575.81
2022-11-25,12820.60,16494396.41
2022-11-26,74475.32,16568871.73
2022-11-27,329810.49,16898682.22
2022-11-29,66947.82,16965630.04
2022-11-30,1826.27,16967456.31
2022-12-01,32106.73,16999563.04
2022-12-03,10279.66,17009842.70
2022-12-04,137120.15,17146962.85
2022-12-05,729.41,17147692.26
2022-12-06,13766.01,17161458.27
2022-12-07,9861.58,17171319.85
2022-12-08,507502.67,17678822.52
2022-12-09,34039.62,17712862.14
2022-12-10,4143.14,17717005.28
2022-12-11,11930.18,17728935.46
2022-12-12,33811.22,17762746.68
2022-12-13,196587.10,17959333.78
2022-12-14,3291.69,17962625.47
2022-12-15,1116.97,17963742.44
2022-12-16,333263.96,18297006.40
2022-12-17,4658.70,18301665.10
2022-12-18,37432.56,18339097.66
2022-12-19,1268.10,18340365.76
2022-12-20,54890.49,18395256.25
2022-12-21,34445.12,18429701.37
2022-12-22,16721.30,18446422.67
2022-12-24,4011.03,18450433.70
2022-12-25,4245.28,18454678.98
2022-12-26,11625.97,18466304.95
2022-12-27,6418.12,18472723.07
2022-12-28,3493.06,18476216.13
2022-12-29,89105.39,18565321.52
2022-12-31,448678.86,19014000.38
2023-01-01,48947.53,19062947.91
2023-01-02,45710.90,19108658.81
2023-01-03,1224.96,19109883.77
2023-01-04,259162.99,19369046.76
2023-01-05,23834.17,19392880.93
2023-01-06,7121.89,19400002.82
2023-01-07,2847.60,19402850.42
2023-01-08,80401.93,19483252.35
2023-01-09,44245.12,19527497.47
2023-01-10,1589.25,19529086.72
2023-01-12,33925.83,19563012.55
2023-01-13,6751.59,19569764.14
2023-01-14,17961.21,19587725.35
2023-01-15,2955.20,19590680.55
2023-01-16,54331.02,19645011.57
2023-01-17,63417.80,19708429.37
2023-01-18,1558.11,19709987.48
2023-01-19,493578.79,20203566.27
2023-01-20,42446.39,20246012.66
2023-01-22,36517.39,20282530.05
2023-01-23,4781.81,20287311.86
2023-01-24,64828.54,20352140.40
2023-01-25,15781.09,20367921.49
2023-01-26,3713.44,20371634.93
2023-01-27,1431.89,20373066.82
2023-01-28,12772.59,20385839.41
2023-01-29,3956.66,20389796.07
2023-01-30,29710.73,20419506.80
2023-02-01,5041.16,20424547.96
2023-02-02,88854.23,20513402.19
2023-02-03,186178.45,20699580.64
2023-02-05,30396.19,20729976.83
2023-02-06,17435.75,20747412.58
2023-02-07,586.51,20747999.09
2023-02-08,20088.01,20768087.10
2023-02-09,90563.38,20858650.48
2023-02-11,7961.18,20866611.66
2023-02-12,21551.29,20888162.95
2023-02-13,13001.78,20901164.73
2023-02-14,14621.15,20915785.88
2023-02-15,479032.24,21394818.12
2023-02-18,44087.74,21438905.86
2023-02-19,97749.82,21536655.68
2023-02-20,376939.21,21913594.89
2023-02-21,24750.39,21938345.28
2023-02-22,80188.06,22018533.34
2023-02-23,419331.82,22437865.16
2023-02-24,144436.10,22582301.26
2023-02-25,2607.96,22584909.22
2023-02-26,92985.87,22677895.09
2023-02-27,33012.23,22710907.32
2023-02-28,90860.81,22801768.13
2023-03-01,12718.09,22814486.22
2023-03-02,44449.67,22858935.89
2023-03-03,1510.92,22860446.81
2023-03-05,11347.44,22871794.25
2023-03-06,67011.29,22938805.54
2023-03-07,1736.56,22940542.10
2023-03-08,8295.73,22948837.83
2023-03-09,35304.41,22984142.24
2023-03-10,46022.74,23030164.98
2023-03-11,20981.32,23051146.30
2023-03-12,37445.83,23088592.13
2023-03-13,1191.78,23089783.91
2023-03-14,945.71,23090729.62
2023-03-15,82676.17,23173405.79
2023-03-16,67853.54,23241259.33
2023-03-17,56199.37,23297458.70
2023-03-18,131042.48,23428501.18
2023-03-19,2032.03,23430533.21
2023-03-20,12187.67,23442720.88
2023-03-21,6821.70,23449542.58
2023-03-22,4151.87,23453694.45
2023-03-23,17833.26,23471527.71
2023-03-24,84461.99,23555989.70
2023-03-25,23714.12,23579703.82
2023-03-28,8256.49,23587960.31
2023-03-29,3683.90,23591644.21
2023-03-30,262006.57,23853650.78
2023-03-31,64794.24,23918445.02
2023-04-02,23359.55,23941804.57
2023-04-03,88494.69,24030299.26
2023-04-05,39342.90,24069642.16
2023-04-08,192856.78,24262498.94
2023-04-09,7157.27,24269656.21
2023-04-10,19737.35,24289393.56
2023-04-11,40876.83,24330270.39
2023-04-12,68299.13,24398569.52
2023-04-13,206306.07,24604875.59
2023-04-14,2154.03,24607029.62
2023-04-15,7113.88,24614143.50
2023-04-16,4910.53,24619054.03
2023-04-19,9311.00,24628365.03
2023-04-20,307183.45,24935548.48
2023-04-21,59701.50,24995249.98
2023-04-22,15545.72,25010795.70
2023-04-23,22608.89,25033404.59
2023-04-24,22071.43,25055476.02
2023-04-26,193102.76,25248578.78
2023-04-27,18746.40,25267325.18
2023-04-28,1934.08,25269259.26
2023-04-30,15738.77,25284998.03
2023-05-01,115354.20,25400352.23
2023-05-02,255608.40,25655960.63
2023-05-03,4492.37,25660453.00
2023-05-04,4265.09,25664718.09
2023-05-05,1306.15,25666024.24
2023-05-06,4101.13,25670125.37
2023-05-08,60210.51,25730335.88
2023-05-09,14861.01,25745196.89
2023-05-10,97786.45,25842983.34
2023-05-11,1320.26,25844303.60
2023-05-12,7345.60,25851649.20
2023-05-14,110399.72,25962048.92
2023-05-15,24420.57,25986469.49
2023-05-16,18262.02,26004731.51
2023-05-17,68509.16,26073240.67
2023-05-18,11222.46,26084463.13
2023-05-19,24415.01,26108878.14
2023-05-20,252325.46,26361203.60
2023-05-21,30517.66,26391721.26
2023-05-23,54142.12,26445863.38
2023-05-24,6655.35,26452518.73
2023-05-25,20113.15,26472631.88
2023-05-26,20116.74,26492748.62
2023-05-27,12870.27,26505618.89
2023-05-28,267257.63,26772876.52
2023-05-29,58890.80,26831767.32
2023-05-30,1866.38,26833633.70
2023-05-31,929.99,26834563.69
2023-06-01,21288.09,26855851.78
2023-06-03,169866.51,27025718.29
2023-06-04,3798.23,27029516.52
2023-06-05,63181.18,27092697.70
2023-06-06,18230.17,27110927.87
2023-06-07,35104.21,27146032.08
2023-06-08,86406.63,27232438.71
2023-06-10,1363.62,27233802.33
2023-06-11,7105.13,27240907.46
2023-06-12,92274.07,27333181.53
2023-06-13,38825.22,27372006.75
2023-06-14,17327.17,27389333.92
2023-06-16,3579.56,27392913.48
2023-06-17,14740.44,27407653.92
2023-06-18,76809.55,27484463.47
2023-06-19,166296.31,27650759.78
2023-06-20,220411.96,27871171.74
2023-06-22,287805.30,28158977.04
2023-06-23,34068.07,28193045.11
2023-06-24,425671.08,28618716.19
2023-06-25,571731.19,29190447.38
2023-06-26,64232.22,29254679.60
2023-06-28,24391.55,29279071.15
2023-06-29,22408.25,29301479.40
2023-06-30,154375.13,29455854.53
2023-07-01,348679.65,29804534.18
2023-07-02,316643.16,30121177.34
2023-07-03,261118.04,30382295.38
2023-07-04,78653.22,30460948.60
2023-07-05,52504.16,30513452.76
2023-07-06,7512.30,30520965.06
2023-07-08,89795.40,30610760.46
2023-07-09,1496.48,30612256.94
2023-07-10,79466.86,30691723.80
2023-07-11,167923.84,30859647.64
2023-07-12,36072.83,30895720.47
2023-07-13,7230.99,30902951.46
2023-07-14,65650.08,30968601.54
2023-07-15,65950.11,31034551.65
2023-07-16,40920.78,31075472.43
2023-07-18,512438.57,31587911.00
2023-07-19,24722.97,31612633.97
2023-07-20,7251.26,31619885.23
2023-07-21,60888.76,31680773.99
2023-07-22,23505.82,31704279.81
2023-07-26,51559.26,31755839.07
2023-07-27,35414.96,31791254.03
2023-07-28,4719.04,31795973.07
2023-07-29,9050.42,31805023.49
2023-07-30,19679.11,31824702.60
2023-07-31,4399.59,31829102.19
2023-08-02,4102.15,31833204.34
2023-08-03,17249.57,31850453.91
2023-08-04,37890.18,31888344.09
2023-08-05,3379.22,31891723.31
2023-08-06,7940.00,31899663.31
2023-08-07,96651.57,31996314.88
2023-08-08,17340.79,32013655.67
2023-08-09,34071.72,32047727.39
2023-08-11,74630.22,32122357.61
2023-08-12,12882.40,32135240.01
2023-08-13,15390.40,32150630.41
2023-08-14,13441.16,32164071.57
2023-08-16,17585.15,32181656.72
2023-08-18,28351.05,32210007.77
2023-08-19,450415.80,32660423.57
2023-08-20,41465.49,32701889.06
2023-08-21,2775.18,32704664.24
2023-08-22,15807.39,32720471.63
2023-08-23,10795.16,32731266.79
2023-08-24,15775.13,32747041.92
2023-08-25,5281.71,32752323.63
2023-08-26,28292.85,32780616.48
2023-08-27,67234.92,32847851.40
2023-08-28,6763.33,32854614.73
2023-08-30,21388.71,32876003.44
2023-09-03,15864.89,32891868.33
2023-09-04,1847.83,32893716.16
2023-09-05,38236.92,32931953.08
2023-09-06,9195.44,32941148.52
2023-09-07,143648.94,33084797.46
2023-09-08,6002.98,33090800.44
2023-09-09,9014.80,33099815.24
2023-09-10,407292.37,33507107.61
2023-09-11,96480.50,33603588.11
2023-09-12,16727.24,33620315.35
2023-09-13,25390.02,33645705.37
2023-09-14,4816.56,33650521.93
2023-09-15,30059.01,33680580.94
2023-09-16,11478.78,33692059.72
2023-09-17,13809.83,33705869.55
2023-09-18,12426.71,33718296.26
2023-09-19,5833.61,33724129.87
2023-09-21,91585.22,33815715.09
2023-09-22,56988.11,33872703.20
2023-09-23,24674.01,33897377.21
2023-09-25,3986.15,33901363.36
2023-09-27,3116.89,33904480.25
2023-09-28,964.24,33905444.49
2023-09-29,311236.10,34216680.59
2023-09-30,20430.00,34237110.59
2023-10-01,24919.99,34262030.58
2023-10-02,47454.72,34309485.30
2023-10-03,3232.01,34312717.31
2023-10-04,16748.81,34329466.12
2023-10-05,115226.62,34444692.74
2023-10-06,18837.08,34463529.82
2023-10-07,621.44,34464151.26
2023-10-08,4663.90,34468815.16
2023-10-10,3110.21,34471925.37
2023-10-11,15037.22,34486962.59
2023-10-12,823.20,34487785.79
2023-10-13,33879.93,34521665.72
2023-10-14,1618.63,34523284.35
2023-10-17,4130.75,34527415.10
2023-10-18,2391.28,34529806.38
2023-10-19,521499.49,35051305.87
2023-10-20,33751.18,35085057.05
2023-10-21,24382.57,35109439.62
2023-10-22,44267.95,35153707.57
2023-10-23,445479.58,35599187.15
2023-10-24,7716.54,35606903.69
2023-10-25,9601.70,35616505.39
2023-10-26,13288.51,35629793.90
2023-10-27,18096.13,35647890.03
2023-10-28,1007.99,35648898.02
2023-11-01,48937.29,35697835.31
2023-11-02,2803.48,35700638.79
2023-11-05,56725.13,35757363.92
2023-11-06,406532.75,36163896.67
2023-11-07,18410.83,36182307.50
2023-11-08,127795.18,36310102.68
2023-11-09,14841.06,36324943.74
2023-11-10,805607.99,37130551.73
2023-11-11,65739.73,37196291.46
2023-11-12,40066.92,37236358.38
2023-11-13,2077.85,37238436.23
2023-11-14,2736.96,37241173.19
2023-11-15,4144.40,37245317.59
2023-11-16,18428.15,37263745.74
2023-11-17,14728.22,37278473.96
2023-11-18,46646.85,37325120.81
2023-11-19,90753.23,37415874.04
2023-11-20,574.87,37416448.91
2023-11-21,11957.98,37428406.89
2023-11-23,1049.44,37429456.33
2023-11-24,19186.17,37448642.50
2023-11-26,24873.34,37473515.84
2023-11-27,20353.75,37493869.59
2023-11-28,111815.92,37605685.51
2023-11-30,7294.09,37612979.60
2023-12-01,583447.27,38196426.87
2023-12-02,304712.78,38501139.65
2023-12-03,2975.51,38504115.16
2023-12-04,1646.25,38505761.41
2023-12-05,35326.21,38541087.62
2023-12-06,4665.39,38545753.01
2023-12-07,50464.70,38596217.71
2023-12-09,110506.54,38706724.25
2023-12-10,135341.06,38842065.31
2023-12-11,46070.98,38888136.29
2023-12-12,6225.97,38894362.26
2023-12-13,1224.49,38895586.75
2023-12-14,114221.13,39009807.88
2023-12-15,32970.69,39042778.57
2023-12-16,68892.14,39111670.71
2023-12-17,20479.05,39132149.76
2023-12-18,43535.77,39175685.53
2023-12-19,64888.19,39240573.72
2023-12-20,19095.15,39259668.87
2023-12-21,34853.89,39294522.76
2023-12-23,32722.21,39327244.97
2023-12-25,9170.40,39336415.37
2023-12-26,21584.84,39358000.21
2023-12-27,1609.34,39359609.55
2023-12-29,4766.06,39364375.61
2023-12-30,6847.31,39371222.92
2024-01-01,20814.72,39392037.64
2024-01-02,64142.85,39456180.49
2024-01-03,19983.39,39476163.88
2024-01-04,22076.63,39498240.51
2024-01-06,19382.89,39517623.40
2024-01-09,11274.32,39528897.72
2024-01-10,54234.22,39583131.94
2024-01-11,388071.14,39971203.08
2024-01-12,15705.23,39986908.31
2024-01-13,20669.07,40007577.38
2024-01-14,78639.79,40086217.17
2024-01-15,380286.80,40466503.97
2024-01-16,19744.49,40486248.46
2024-01-17,20548.37,40506796.83
2024-01-18,21472.32,40528269.15
2024-01-19,24750.29,40553019.44
2024-01-20,1395.72,40554415.16
2024-01-24,15058.63,40569473.79
2024-01-25,115795.20,40685268.99
2024-01-26,22118.59,40707387.58
2024-01-27,23205.92,40730593.50
2024-01-28,28053.38,40758646.88
2024-01-29,10114.97,40768761.85
2024-01-30,848.90,40769610.75
2024-01-31,1147.56,40770758.31
2024-02-01,1030.02,40771788.33
2024-02-03,445329.73,41217118.06
2024-02-04,24511.14,41241629.20
2024-02-05,172113.17,41413742.37
2024-02-06,57497.61,41471239.98
2024-02-07,26062.45,41497302.43
2024-02-08,18150.61,41515453.04
2024-02-10,8315.88,41523768.92
2024-02-11,18814.04,41542582.96
2024-02-12,102026.85,41644609.81
2024-02-13,58695.75,41703305.56
2024-02-14,41248.19,41744553.75
2024-02-15,4972.74,41749526.49
2024-02-17,4416.25,41753942.74
2024-02-18,11713.36,41765656.10
2024-02-19,74131.79,41839787.89
2024-02-20,397446.69,42237234.58
2024-02-21,23175.54,42260410.12
2024-02-22,600.73,42261010.85
2024-02-23,456932.31,42717943.16
2024-02-25,10571.91,42728515.07
2024-02-26,18853.94,42747369.01
2024-02-27,9031.63,42756400.64
2024-02-28,4214.27,42760614.91
2024-02-29,2300.92,42762915.83
2024-03-01,6726.09,42769641.92
2024-03-02,32335.74,42801977.66
2024-03-03,2972.97,42804950.63
2024-03-04,91728.71,42896679.34
2024-03-05,48070.93,42944750.27
2024-03-06,4099.69,42948849.96
2024-03-08,84310.96,43033160.92
2024-03-09,34231.03,43067391.95
2024-03-10,5862.93,43073254.88
2024-03-11,22643.32,43095898.20
2024-03-12,100062.11,43195960.31
2024-03-13,108166.33,43304126.64
2024-03-14,1555.05,43305681.69
2024-03-15,15671.85,43321353.54
2024-03-16,15558.84,43336912.38
2024-03-17,42373.66,43379286.04
2024-03-19,20745.51,43400031.55
2024-03-21,83991.93,43484023.48
2024-03-22,35028.75,43519052.23
2024-03-23,40127.38,43559179.61
2024-03-24,3324.56,43562504.17
2024-03-25,16485.92,43578990.09
2024-03-26,2343.42,43581333.51
2024-03-27,3232.65,43584566.16
2024-03-28,3452.89,43588019.05
2024-03-29,115212.81,43703231.86
2024-03-30,14285.38,43717517.24
2024-03-31,77923.33,43795440.57
2024-04-03,270342.26,44065782.83
2024-04-04,1681.95,44067464.78
2024-04-06,65344.24,44132809.02
2024-04-07,16549.86,44149358.88
2024-04-08,1053.75,44150412.63
2024-04-09,14936.22,44165348.85
2024-04-10,63898.44,44229247.29
2024-04-11,76836.83,44306084.12
2024-04-12,97811.14,44403895.26
2024-04-13,10496.10,44414391.36
2024-04-14,31864.68,44446256.04
2024-04-15,44304.57,44490560.61
2024-04-16,89737.11,44580297.72
2024-04-17,16326.98,44596624.70
2024-04-18,4291.85,44600916.55
2024-04-19,10822.24,44611738.79
2024-04-21,3099.88,44614838.67
2024-04-23,6015.43,44620854.10
2024-04-24,74157.08,44695011.18
2024-04-26,255559.27,44950570.45
2024-04-27,1417.04,44951987.49
2024-04-28,5800.03,44957787.52
2024-04-29,24921.37,44982708.89
2024-04-30,17615.05,45000323.94
2024-05-01,3688.06,45004012.00
2024-05-02,39486.53,45043498.53
2024-05-03,9797.51,45053296.04
2024-05-05,1961.46,45055257.50
2024-05-06,453480.19,45508737.69
2024-05-07,22451.75,45531189.44
2024-05-08,3741.30,45534930.74
2024-05-09,13656.04,45548586.78
2024-05-10,2252.68,45550839.46
2024-05-11,32186.77,45583026.23
2024-05-12,2129.18,45585155.41
2024-05-13,194896.10,45780051.51
2024-05-14,4886.05,45784937.56
2024-05-15,36948.64,45821886.20
2024-05-16,13528.53,45835414.73
2024-05-17,194937.59,46030352.32
2024-05-18,14400.99,46044753.31
2024-05-19,47524.38,46092277.69
2024-05-20,29016.40,46121294.09
2024-05-21,500552.90,46621846.99
2024-05-23,11850.43,46633697.42
2024-05-24,188580.19,46822277.61
2024-05-25,4635.20,46826912.81
2024-05-26,5992.85,46832905.66
2024-05-27,87796.92,46920702.58
2024-05-28,18060.19,46938762.77
2024-05-29,4307.02,46943069.79
2024-05-30,34099.40,46977169.19
2024-06-01,11197.20,46988366.39
2024-06-03,14597.57,47002963.96
2024-06-04,5555.15,47008519.11
2024-06-05,159797.80,47168316.91
2024-06-08,4306.68,47172623.59
2024-06-09,6352.24,47178975.83
2024-06-10,860.18,47179836.01
2024-06-11,210670.67,47390506.68
2024-06-12,7935.99,47398442.67
2024-06-13,29557.67,47428000.34
2024-06-15,11440.57,47439440.91
2024-06-17,107644.75,47547085.66
2024-06-18,3018.02,47550103.68
2024-06-19,67318.93,47617422.61
2024-06-20,26108.23,47643530.84
2024-06-21,202578.43,47846109.27
2024-06-22,17093.58,47863202.85
2024-06-23,8145.48,47871348.33
2024-06-24,100924.45,47972272.78
2024-06-25,6307.02,47978579.80
2024-06-26,13435.60,47992015.40
2024-06-27,463645.72,48455661.12
2024-06-28,44714.11,48500375.23
2024-06-29,9112.51,48509487.74
2024-06-30,18707.10,48528194.84
2024-07-01,19140.37,48547335.21
2024-07-02,5018.35,48552353.56
2024-07-03,12225.97,48564579.53
2024-07-04,11021.02,48575600.55
2024-07-05,25524.05,48601124.60
2024-07-07,17958.55,48619083.15
